GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_num,Percent_Category,ACS_Population,White,Black,AIAN,ASIAN,Hispanic,Other,Percent_White,Percent_Black,Percent_AIAN,Percent_Asian,Percent_Hispanic,Other_Percent
35051962402,Sierra/Catron,N/A,0.231,4,98,"2,482",0.0395,4%,5,2682,1453,0,0,0,1116,113,54.18,0,0,0,41.61,4.21
35053940000,Socorro,N/A,0.672,6,124,"1,444",0.0859,9%,4,1268,13,0,1252,0,3,0,1.03,0,98.74,0,0.24,0
35053978100,Socorro,N/A,0.218,4,176,"4,194",0.042,4%,5,4828,1582,0,13,17,3216,0,32.77,0,0.27,0.35,66.61,0
35053978200,Socorro,N/A,0.181,3,236,"1,660",0.1422,14%,3,1343,807,0,18,0,497,21,60.09,0,1.34,0,37.01,1.56
35053978301,Socorro,N/A,0.276,4,93,"2,798",0.0332,3%,6,3123,745,0,201,270,1735,172,23.86,0,6.44,8.65,55.56,5.51
35053978302,Socorro,N/A,0.32,5,89,"3,459",0.0257,3%,6,3063,1497,95,141,261,962,107,48.87,3.1,4.6,8.52,31.41,3.49
35053978303,Socorro,N/A,0.305,5,222,"3,553",0.0625,6%,4,3233,1120,0,138,0,1975,0,34.64,0,4.27,0,61.09,0
35055940000,Taos,Downtown and High Road,0.254,4,62,"1,913",0.0324,3%,6,2134,112,0,253,1,1735,33,5.25,0,11.86,0.05,81.3,1.55
35055940100,Taos,Downtown and High Road,0.174,3,380,"7,707",0.0493,5%,5,9287,3469,27,1274,31,4324,162,37.35,0.29,13.72,0.33,46.56,1.75
35055952100,Taos,Northwest,0.124,3,138,"6,350",0.0217,2%,6,5586,2320,0,39,0,3216,11,41.53,0,0.7,0,57.57,0.2
35055952300,Taos,Northwest,0.383,5,25,"2,922",0.0086,1%,6,2532,1181,0,4,0,1347,0,46.64,0,0.16,0,53.2,0
35055952600,Taos,Downtown and High Road,0.166,3,128,"7,871",0.0163,2%,6,7747,2800,1,285,18,4511,132,36.14,0.01,3.68,0.23,58.23,1.7
35055952700,Taos,Downtown and High Road,0.218,4,356,"6,144",0.0579,6%,4,5500,1681,26,66,208,3519,0,30.56,0.47,1.2,3.78,63.98,0
35057963201,Torrance,N/A,0.23,4,93,"3,970",0.0234,2%,6,3938,2276,38,0,0,1608,16,57.8,0.96,0,0,40.83,0.41
35057963202,Torrance,N/A,0.229,4,133,"3,047",0.0436,4%,5,3204,1456,59,20,14,1597,58,45.44,1.84,0.62,0.44,49.84,1.81
35057963600,Torrance,N/A,0.289,4,247,"6,587",0.0375,4%,5,6454,3680,24,27,0,2648,75,57.02,0.37,0.42,0,41.03,1.16
35057963700,Torrance,N/A,0.265,4,82,"2,207",0.0372,4%,5,1923,1076,0,0,9,834,4,55.95,0,0,0.47,43.37,0.21
35059950200,Colfax/Union,N/A,0.141,3,345,"4,163",0.0829,8%,4,4133,2120,59,63,1,1750,140,51.29,1.43,1.52,0.02,42.34,3.38
35061940300,Valencia,NE,0.257,4,63,834,0.0755,8%,4,1021,23,0,893,0,105,0,2.25,0,87.46,0,10.28,0
35061970101,Valencia,NE,0.375,5,308,"4,755",0.0648,6%,4,3832,758,0,23,0,2962,89,19.78,0,0.6,0,77.3,2.32
35061970102,Valencia,NE,0.172,3,310,"6,537",0.0474,5%,5,6467,2540,0,0,114,3756,57,39.28,0,0,1.76,58.08,0.88
